Date,Open,High,Low,Close,Volume,Adj Close
1980-12-02,11.5,11.75,11.5,11.5,100710400,0.138742
1980-12-03,11.375,11.375,11.25,11.25,25177600,0.13572599999999999
1980-12-04,11.625,11.75,11.625,11.625,22694400,0.14025
1980-12-05,11.25,11.25,11.0,11.0,7590400,0.132709
1980-12-08,10.5,10.5,10.375,10.375,5414400,0.125169
1980-12-09,10.375,10.375,10.125,10.125,5824000,0.122153
1980-12-10,9.875,9.875,9.5,9.5,5875200,0.114613
1980-12-11,9.25,9.25,9.0,9.0,5440000,0.10858
1980-12-12,9.375,9.5,9.375,9.375,8153600,0.113105
1980-12-15,9.75,9.875,9.75,9.75,6643200,0.117629
1980-12-16,9.75,9.75,9.5,9.5,6630400,0.114613
1980-12-17,9.375,9.375,9.125,9.125,4672000,0.110089
1980-12-18,9.375,9.625,9.375,9.375,11251200,0.113105
1980-12-19,9.75,9.875,9.75,9.75,10035200,0.117629
1980-12-22,9.75,10.0,9.75,9.75,1856000,0.117629
1980-12-23,10.0,10.25,10.0,10.0,5696000,0.120645
1980-12-24,10.375,10.625,10.375,10.375,2444800,0.125169
1980-12-26,10.5,10.75,10.5,10.5,1459200,0.126677
1980-12-29,10.5,10.625,10.375,10.375,1740800,0.125169
1980-12-30,10.625,10.75,10.625,10.625,4364800,0.128185
1980-12-31,10.625,10.75,10.5,10.5,2918400,0.126677
1981-01-02,10.75,11.0,10.75,10.75,1574400,0.129693
1981-01-05,11.1875,11.375,11.1875,11.1875,5824000,0.134972
1981-01-06,11.25,11.375,11.25,11.25,6950400,0.13572599999999999
1981-01-07,10.75,10.75,10.625,10.625,8806400,0.128185
1981-01-08,10.5,10.5,10.375,10.375,3302400,0.125169
1981-01-09,10.375,10.5,10.25,10.25,2470400,0.123661
1981-01-12,10.375,10.625,10.375,10.375,3353600,0.125169
1981-01-13,10.625,10.875,10.625,10.625,4467200,0.128185
1981-01-14,11.0,11.25,11.0,11.0,7923200,0.132709
1981-01-15,11.0,11.125,11.0,11.0,2521600,0.132709
1981-01-16,11.0,11.25,11.0,11.0,3328000,0.132709
1981-01-19,11.0,11.125,11.0,11.0,4032000,0.132709
1981-01-20,10.875,10.875,10.625,10.625,3507200,0.128185
1981-01-21,10.625,10.75,10.5,10.5,985600,0.126677
1981-01-22,10.375,10.375,10.0,10.0,1318400,0.120645
1981-01-23,10.25,10.5,10.25,10.25,1382400,0.123661
1981-01-26,10.25,10.25,10.0,10.0,1126400,0.120645
1981-01-27,10.0,10.125,10.0,10.0,857600,0.120645
1981-01-28,10.0,10.125,10.0,10.0,1164800,0.120645
1981-01-29,10.0,10.25,10.0,10.0,2521600,0.120645
